# ARP Table - Network Scan 2026-03-13
# Generated by: arp-scanner v1.2
# Network: 192.168.1.0/24

IP Address        MAC Address         Vendor
192.168.1.1       3D:60:7A:CD        AMD
192.168.1.2       82:B5:BF:ED        Qualcomm
192.168.1.3       82:B5:BF:E5        Dell Inc
192.168.1.4       71:A4:AE:1D        Router
192.168.1.5       60:93:9D:41        Intel
192.168.1.6    AA:BB:CC:DD:EE:FF  Network Device
192.168.1.7       1D:65:2E:77:80:BC  Acer
192.168.1.8       06:E5:03:AE:4B:B1  Lenovo
192.168.1.9       20:23:E3:15:4B:65  Acer
192.168.1.10      82:B5:BF:D6        Broadcom
192.168.1.11      2E:65:96:FC:84:3B  Broadcom
192.168.1.12      44:32:23:91:C8:3F  Dell Inc
192.168.1.13      E2:15:F3:09:A1:91  Microsoft
192.168.1.14      C8:30:54:04:03:D2  Microsoft
192.168.1.15      66:14:1A:4B:F6:51  Microsoft
192.168.1.16      C6:6F:18:D0:4B:C7  Samsung
192.168.1.17      FB:62:48:AE:65:B1  Broadcom
192.168.1.18      A3:FF:C3:14:9B:C6  Lenovo
192.168.1.19      45:52:70:1B:E4:15  ASUS
192.168.1.20      4B:22:10:80:80:BC  Broadcom
192.168.1.21      23:17:CE:FF:D3:85  Realtek
192.168.1.22      8C:B2:A0:AA:0A:AE  Realtek
192.168.1.23      82:B5:BF:AB        Broadcom
192.168.1.24      5F:88:BF:3C:61:D7  Dell Inc
192.168.1.25      6B:46:67:B0:C9:EF  ASUS
192.168.1.26      09:F4:88:48:EF:1A  Cisco
192.168.1.27      CC:1A:82:15:4B:2D  Samsung
192.168.1.28      A6:7F:7D:EF        Qualcomm
192.168.1.29      EF:1A:88:27:A3:9C  Dell Inc
192.168.1.30      81:61:2C:D9:E8:73  HP Inc
192.168.1.31      6F:4D:6B:60:9E:48  Qualcomm
192.168.1.32      BD:3C:D3:D5:88:65  Acer
192.168.1.33      82:B5:BF:DD        HP Inc
192.168.1.34      24:7D:E0:76:69:5C  Intel
192.168.1.35      1B:C5:09:6E:37:C0  Qualcomm
192.168.1.36      A6:2C:9B:58:A1:D8  Intel
192.168.1.37      43:7E:C2:FE:41:60  Acer
192.168.1.38      2C:98:85:06:3B:60  HP Inc
192.168.1.39      AF:1C:67:D9:4B:FB  Apple Inc
192.168.1.40      CA:D6:02:A4:6E:D9  Qualcomm
192.168.1.41      4D:F6:96:79:1C:7B  Dell Inc
192.168.1.42      2E:47:9B:77:61:F9  Qualcomm
192.168.1.43      6B:65:C4:D0:F4:7B  ASUS
192.168.1.44      69:89:4A:A5:A7:91  AMD
192.168.1.45      C8:76:E3:DE:0E:A6  Dell Inc
192.168.1.46      F4:B1:89:B4:B9:31  Apple Inc
192.168.1.47      0A:A6:E4:89:81:3E  Acer
192.168.1.48      28:5D:4A:E6:EE:1C  Router
192.168.1.49      F4:BD:AE:2C:9C:59  Samsung
192.168.1.50      8C:D0:43:35:AE:14  Router
192.168.1.51      60:93:9D:0A        Acer
192.168.1.52      82:C5:8D:6E:37:C0  Cisco
192.168.1.53      60:93:9D:87        HP Inc
192.168.1.54      DB:E5:3E:3F:E6:1A  Lenovo
192.168.1.55      8B:23:ED:A2:58:61  Dell Inc
192.168.1.56      A6:59:43:3B:72:5C  ASUS
192.168.1.57      4A:EC:4C:9C:81:BC  Broadcom
192.168.1.58      20:11:03:AE:64:93  AMD
192.168.1.59      23:EF:A7:24:82:65  Dell Inc
192.168.1.60      24:55:E8:73:6B:DD  NVIDIA
192.168.1.61      4E:71:7B:84        ASUS
192.168.1.62      10:73:F8:52:80:B6  ASUS
192.168.1.63      2A:D6:03:A6:A3:B5  Intel
192.168.1.64      0B:7E:B5:54:1D:6C  AMD
192.168.1.65      F2:D0:9C:6A:B5:43  Samsung
